CycleID,Point,Trolley Position,Hoist Position,Date,Mode
1,0,75.565,20.281,23/06/2023 12:00,M
1,1,75.555,20.669,23/06/2023 12:01,M
1,2,75.555,20.862,23/06/2023 12:01,M
1,3,75.555,20.862,23/06/2023 12:01,M
1,4,75.554,20.862,23/06/2023 12:01,M
1,5,75.555,20.862,23/06/2023 12:01,M
1,6,75.555,20.866,23/06/2023 12:01,M
1,7,75.554,22.78,23/06/2023 12:01,M
1,8,75.419,28.379,23/06/2023 12:01,M
1,9,75.267,31.279,23/06/2023 12:01,A
1,10,70.456,31.278,23/06/2023 12:01,A
1,11,60.165,31.278,23/06/2023 12:01,A
1,12,50.457,31.278,23/06/2023 12:01,A
1,13,40.448,31.282,23/06/2023 12:01,A
1,14,33.919,28.794,23/06/2023 12:01,A
1,15,29.69,21.547,23/06/2023 12:01,A
1,16,27.146,14.301,23/06/2023 12:01,A
1,17,25.979,11.38,23/06/2023 12:01,A
1,18,25.991,8.516,23/06/2023 12:01,A
1,19,25.991,6.007,23/06/2023 12:01,A
1,20,25.991,4.376,23/06/2023 12:01,A
1,21,25.991,4.079,23/06/2023 12:02,M
1,22,25.99,4.079,23/06/2023 12:02,M
1,23,25.991,4.079,23/06/2023 12:02,M
1,24,25.991,4.079,23/06/2023 12:02,M
1,25,25.99,4.124,23/06/2023 12:02,A
1,26,25.99,7.962,23/06/2023 12:02,A
1,27,25.987,13.302,23/06/2023 12:02,A
1,28,24.223,15.997,23/06/2023 12:02,A
1,29,21.42,14.351,23/06/2023 12:02,A
1,30,17.162,13.953,23/06/2023 12:02,A
1,31,14.171,13.956,23/06/2023 12:02,A
1,32,12.428,11.86,23/06/2023 12:02,A
1,33,11.729,10.371,23/06/2023 12:02,A
1,34,11.452,9.155,23/06/2023 12:02,A
1,35,11.307,4.968,23/06/2023 12:02,A
1,36,11.309,3.545,23/06/2023 12:02,A
1,37,11.309,3.325,23/06/2023 12:02,A
1,38,11.327,3.034,23/06/2023 12:02,A
1,39,11.322,2.688,23/06/2023 12:02,A
2,0,78.239,20.208,23/06/2023 12:04,M
2,1,78.239,20.609,23/06/2023 12:04,M
2,2,78.238,21.141,23/06/2023 12:04,M
2,3,77.831,22.32,23/06/2023 12:04,M
2,4,77.803,24.217,23/06/2023 12:04,M
2,5,77.753,25.564,23/06/2023 12:04,A
2,6,74.846,25.564,23/06/2023 12:04,A
2,7,66.277,25.564,23/06/2023 12:04,A
2,8,56.592,25.564,23/06/2023 12:04,A
2,9,45.587,25.564,23/06/2023 12:04,A
2,10,38.314,25.564,23/06/2023 12:04,A
2,11,31.574,24.647,23/06/2023 12:05,A
2,12,28.097,17.382,23/06/2023 12:05,A
2,13,26.52,13.06,23/06/2023 12:05,A
2,14,25.977,10.754,23/06/2023 12:05,A
2,15,25.976,7.796,23/06/2023 12:05,A
2,16,25.977,5.427,23/06/2023 12:05,A
2,17,25.977,4.067,23/06/2023 12:05,M
2,18,25.976,4.069,23/06/2023 12:05,M
2,19,25.976,4.069,23/06/2023 12:05,M
2,20,25.977,4.069,23/06/2023 12:05,M
2,21,25.977,4.069,23/06/2023 12:05,M
2,22,25.976,4.069,23/06/2023 12:05,A
2,23,25.976,5.994,23/06/2023 12:05,A
2,24,25.973,14.396,23/06/2023 12:05,A
2,25,24.185,21.673,23/06/2023 12:05,A
2,26,21.146,26.834,23/06/2023 12:05,A
2,27,14.178,27.766,23/06/2023 12:05,A
2,28,9.263,23.696,23/06/2023 12:05,A
2,29,5.6,15.054,23/06/2023 12:05,A
2,30,4.191,11.078,23/06/2023 12:06,A
2,31,3.738,9.595,23/06/2023 12:06,A
2,32,3.7,5.153,23/06/2023 12:06,A
2,33,3.725,3.518,23/06/2023 12:06,A
2,34,3.742,3.295,23/06/2023 12:06,A
2,35,3.739,2.94,23/06/2023 12:06,A
2,36,3.736,2.808,23/06/2023 12:06,A
2,37,3.736,3.299,23/06/2023 12:06,A
2,38,3.738,3.661,23/06/2023 12:06,A
2,39,3.738,3.465,23/06/2023 12:06,A
2,40,3.753,3.309,23/06/2023 12:06,A
2,41,3.755,3.097,23/06/2023 12:06,A
2,42,3.753,2.829,23/06/2023 12:06,A
2,43,3.753,3.19,23/06/2023 12:06,A
2,44,3.751,3.668,23/06/2023 12:06,A
2,45,3.77,3.496,23/06/2023 12:06,A
2,46,3.769,3.303,23/06/2023 12:06,A
2,47,3.77,3.079,23/06/2023 12:06,A
2,48,3.769,2.822,23/06/2023 12:06,A
2,49,3.768,3.116,23/06/2023 12:06,A
2,50,3.768,3.624,23/06/2023 12:07,A
2,51,3.769,3.401,23/06/2023 12:07,A
